2020-02-04 19:13:31.779 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lewic.todoscore.service.UserServiceTest], using SpringBootContextLoader
2020-02-04 19:13:37.718 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2020-02-04 19:13:39.258 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-02-04 19:13:39.270 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'primaryPersistenceUnit'
2020-02-04 19:13:40.629 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-02-04 19:13:41.399 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-02-04 19:13:41.865 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-02-04 19:13:41.932 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-02-04 19:13:41.968 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-02-04 19:13:41.985 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-02-04 19:13:42.318 [main] INFO  c.l.t.service.UserServiceTest - Started UserServiceTest in 9.84 seconds (JVM running for 12.102)
2020-02-04 19:13:42.466 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-02-04 19:13:43.032 [main] DEBUG c.l.t.d.m.master.UserMapper.insert - ==>  Preparing: INSERT INTO user (username, password, role, status) VALUES (?, ?, ?, ?) 
2020-02-04 19:13:43.053 [main] DEBUG c.l.t.d.m.master.UserMapper.insert - ==> Parameters: zhang3(String), 123456(String), null, null
2020-02-04 19:13:43.159 [main] DEBUG c.l.t.d.m.master.UserMapper.insert - <==    Updates: 1
2020-02-04 19:13:43.210 [main] DEBUG c.l.t.d.m.master.UserMapper.list - ==>  Preparing: SELECT * FROM user ORDER BY id limit ?,? 
2020-02-04 19:13:43.210 [main] DEBUG c.l.t.d.m.master.UserMapper.list - ==> Parameters: 0(Integer), 10(Integer)
2020-02-04 19:13:43.274 [main] DEBUG c.l.t.d.m.master.UserMapper.list - <==      Total: 2
2020-02-04 19:13:43.275 [main] INFO  c.l.t.service.UserServiceTest - [User(id=2, username=zhang3, password=123456, role=null, mobile=null, status=null, createTime=2020-01-28 10:13:22, updateTime=2020-01-28 10:13:22), User(id=3, username=zhang3, password=123456, role=null, mobile=null, status=null, createTime=2020-02-04 11:13:42, updateTime=2020-02-04 11:13:42)]
2020-02-04 19:13:44.135 [main] INFO  c.l.t.service.UserServiceTest - [Task(id=2, content=好好学习, score=10, status=0, description=string, cycleTypeId=2, createTime=null, updateTime=null), Task(id=3, content=好好学习222, score=10, status=0, description=string, cycleTypeId=6, createTime=null, updateTime=null), Task(id=4, content=早睡, score=10, status=1, description=好好休息, cycleTypeId=null, createTime=2020-02-04 19:13:43.0, updateTime=2020-02-04 19:13:43.0)]
2020-02-04 19:13:44.152 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lewic.todoscore.TodoScoreApplicationTests], using SpringBootContextLoader
2020-02-04 19:13:44.155 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.lewic.todoscore.TodoScoreApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-02-04 19:13:44.155 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lewic.todoscore.TodoScoreApplicationTests]: TodoScoreApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-02-04 19:13:44.163 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lewic.todoscore.TodoScoreApplication for test class com.lewic.todoscore.TodoScoreApplicationTests
2020-02-04 19:13:44.165 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-02-04 19:13:44.166 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1bfca3a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@690f5e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@19d2cee, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@390b8c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@17eeceb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@17d0625, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1a5a4f8, org.springframework.test.context.event.EventPublishingTestExecutionListener@192aa2b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@14f0d06, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@c87de4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6690e1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@63af34, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1aba3c3]
2020-02-04 19:13:44.200 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-02-04 19:13:44.201 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-02-04 19:13:44.217 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-02-04 19:13:44.217 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'primaryPersistenceUnit'
2020-02-04 19:13:44.219 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-02-04 19:13:44.223 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-02-04 19:17:12.347 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lewic.todoscore.service.UserServiceTest], using SpringBootContextLoader
2020-02-04 19:17:12.358 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.lewic.todoscore.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-02-04 19:17:12.359 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lewic.todoscore.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-02-04 19:17:12.502 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lewic.todoscore.TodoScoreApplication for test class com.lewic.todoscore.service.UserServiceTest
